Posno,StationID,perc_dest,perc_origin
870,248,0.12,0.12
810,257,0.12,0.12
2150,532,0.12,0.12
2140,705,0.12,0.12
2200,900,0.12,0.12
2170,596,0.12,0.1
2660,753,0.12,0.1
240,205,0.11,0.19
710,238,0.11,0.13
710,236,0.11,0.11
2230,609,0.11,0.11
650,233,0.11,0.1
2230,617,0.11,0.1
160,48,0.1,0.3
2150,503,0.1,0.13
640,231,0.1,0.12
2120,515,0.1,0.12
370,761,0.1,0.12
2650,763,0.1,0.12
2180,563,0.1,0.11
2230,601,0.1,0.11
2230,619,0.1,0.11
2210,637,0.1,0.11
930,276,0.1,0.1
880,291,0.1,0.1
2250,653,0.1,0.1
2600,703,0.1,0.1
2600,719,0.1,0.1
2250,651,0.1,0.09
240,108,0.09,0.13
800,266,0.09,0.12
640,228,0.09,0.11
2200,575,0.09,0.11
2600,713,0.09,0.11
820,269,0.09,0.1
920,285,0.09,0.1
2600,715,0.09,0.1
370,217,0.09,0.09
590,247,0.09,0.09
2200,577,0.09,0.09
2230,623,0.09,0.09
2240,631,0.09,0.09
710,237,0.08,0.09
790,242,0.08,0.09
2130,551,0.08,0.09
830,253,0.08,0.08
2230,607,0.08,0.08
2210,645,0.08,0.08
2200,649,0.08,0.08
2680,757,0.08,0.08
2100,518,0.08,0.07
2180,565,0.08,0.07
170,18,0.08,0
2650,751,0.07,0.09
640,230,0.07,0.08
820,271,0.07,0.08
920,286,0.07,0.08
2160,507,0.07,0.08
2600,721,0.07,0.08
2130,561,0.07,0.07
2170,593,0.07,0.07
950,282,0.07,0.06
2200,647,0.07,0.06
640,229,0.06,0.08
2210,643,0.06,0.08
920,283,0.06,0.07
2170,587,0.06,0.07
2230,615,0.06,0.06
220,200,0.05,0.08
2210,639,0.05,0.08
2650,767,0.05,0.07
2650,735,0.05,0.06
2650,739,0.05,0.06
2230,901,0.05,0.05
930,277,0.05,0.03
2150,537,0.04,0.05
2240,633,0.04,0.05
2650,747,0.04,0.04
2660,755,0.04,0.04
2150,538,0.03,0.04
2140,769,0.03,0.03
2650,741,0.02,0.02
2600,902,0.02,0.02
910,279,0,0.01
